Employee ID	First Name	 Last Name 	Department	 City
10001	Danel	Olson	Electronics	San Franciso
10002	Nick	Markmen	Clothes	San Franciso
10003	Maria	Gonzales	Electronics	San Jose
10004	George	Wong	Clothes	San Francisco
10005	Stephanie	Williams	Clothes	Oakland
10006	Miguel	Alva	Clothes	Oakland
10007	Jessica	Collins	Cosmetics	San Francisco
10008	Ted	Anderson	Clothes	Oakland
10009	Victoria	Garcia	Clothes	San Jose
10010	Jasmine	Khan	"Pharmacy, Health, and Beauty"	Oakland
10011	Adam	Smith	"Pharmacy, Health and Beauty"	San Jose
10012	Rachel	Kim	Electronics	San Jose
